complaint_id,date_received,resolved_date,order_id,issue_category,channel,company_response,timely_response,consumer_disputed
CR1512902,2020-04-07,2021-09-14,US-2015-159982,New Product or Feature Request,Phone Support,Closed with explanation,TRUE,FALSE
CR1428359,2020-05-07,2022-04-15,US-2015-157940,Long wait on hold,Branch,Closed with explanation,TRUE,TRUE
CR1884968,2021-08-08,2021-12-01,US-2015-153254,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,TRUE
CR0499187,2020-10-23,2021-07-11,US-2015-159009,Long wait on hold,Branch,Closed with explanation,TRUE,TRUE
CR2212620,2020-05-21,2020-07-20,US-2015-151239,No First Call Resolution,Phone Support,Closed with monetary relief,TRUE,FALSE
CR2131061,2022-09-28,2021-04-20,US-2015-154665,Long wait on hold,Mobile App,Closed with explanation,TRUE,FALSE
CR0367356,2021-01-31,2023-03-09,US-2015-153995,Uninterested Service Rep,Mobile App,Closed with explanation,TRUE,FALSE
CR1523348,2021-07-06,2023-02-10,US-2015-152617,Poor Product or Service,Mobile App,Closed with explanation,TRUE,FALSE
CR1645849,2020-03-29,2022-08-27,US-2015-158648,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,TRUE,FALSE
CR1912930,2020-06-21,2023-10-25,US-2015-160216,Making Customers Repeat Their Problem,Phone Support,Closed with non-monetary relief,TRUE,FALSE
CR1891272,2023-03-26,2023-06-29,US-2015-154707,No First Call Resolution,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1343295,2021-12-17,2020-11-29,US-2015-160121,Long wait on hold,Branch,Closed with explanation,TRUE,FALSE
CR1448631,2020-04-17,2022-07-18,US-2015-153087,New Product or Feature Request,Email,Closed with explanation,TRUE,FALSE
CR2395319,2021-01-22,2023-03-21,US-2015-153738,Long wait on hold,Email,Closed with relief,TRUE,
CR0517670,2023-01-16,2020-10-30,US-2015-158185,New Product or Feature Request,Branch,Closed with explanation,TRUE,FALSE
CR2078889,2023-03-09,2022-08-06,US-2015-156232,New Product or Feature Request,Mobile App,Closed with explanation,TRUE,FALSE
CR1412354,2021-01-04,2021-07-31,US-2015-155028,No First Call Resolution,Branch,Closed with explanation,TRUE,FALSE
CR2406895,2020-03-03,2022-08-06,US-2015-155188,New Product or Feature Request,Phone Support,Closed with relief,TRUE,
CR0206371,2021-04-19,2020-04-03,US-2015-152213,Uninterested Service Rep,Email,Closed with non-monetary relief,TRUE,FALSE
CR2310424,2023-12-29,2023-07-25,US-2015-150948,No First Call Resolution,Mobile App,Closed with explanation,TRUE,
CR1979353,2021-03-19,2023-01-31,US-2015-151880,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR0824833,2021-03-21,2022-06-05,US-2015-155160,Lack of Follow Up,Branch,Closed with explanation,TRUE,FALSE
CR1720348,2020-10-12,2022-10-29,US-2015-152112,Lack of Follow Up,Email,Closed with explanation,TRUE,FALSE
CR2220251,2020-12-23,2022-08-21,US-2015-155123,New Product or Feature Request,Email,Closed with explanation,TRUE,FALSE
CR1608784,2022-07-12,2022-07-05,US-2015-157126,No First Call Resolution,Mobile App,Closed with explanation,TRUE,FALSE
CR1797317,2020-09-10,2023-03-31,US-2015-153205,Making Customers Repeat Their Problem,Mobile App,Closed with non-monetary relief,TRUE,FALSE
CR1051007,2023-01-17,2020-09-20,US-2015-151545,Poor Product or Service,Phone Support,Closed with explanation,TRUE,TRUE
